Date,GLD_Open,GLD_High,GLD_Low,GLD_Close,GLD_Volume,GLD,GC_F,SPX,USO,SLV,EURUSD,DXY,TNX,VIX,TIP
2008-01-02,83.55999755859375,85.13999938964844,83.44000244140625,84.86000061035156,12291100.0,84.86000061035156,857.0,1447.1600341796875,627.760009765625,15.180000305175781,1.4716920852661133,75.97000122070312,3.9010000228881836,23.170000076293945,106.63999938964844
2008-01-03,84.87000274658203,85.94000244140625,84.5999984741211,85.56999969482422,9553900.0,85.56999969482422,866.4000244140625,1447.1600341796875,626.9600219726562,15.28499984741211,1.4744912385940552,75.88999938964844,3.9010000228881836,22.489999771118164,107.0
2008-01-04,85.33999633789062,85.55000305175781,84.43000030517578,85.12999725341797,8402200.0,85.12999725341797,863.0999755859375,1411.6300048828125,618.47998046875,15.166999816894531,1.4754921197891235,75.79000091552734,3.8540000915527344,23.940000534057617,106.97000122070312
2008-01-07,85.23999786376953,85.26000213623047,84.56999969482422,84.7699966430664,6944300.0,84.7699966430664,859.5999755859375,1416.1800537109375,604.0,15.053000450134277,1.468299388885498,76.16999816894531,3.8389999866485596,23.790000915527344,106.94999694824219
2008-01-08,86.27999877929688,87.12999725341797,86.16000366210938,86.77999877929688,9567900.0,86.77999877929688,878.0,1390.18994140625,608.47998046875,15.59000015258789,1.5570987462997437,76.11000061035156,3.8399999141693115,25.43000030517578,107.02999877929688
2008-01-09,86.55999755859375,87.19999694824219,86.30000305175781,86.55000305175781,10080200.0,86.55000305175781,879.5,1409.1300048828125,602.0,15.520000457763672,1.466404676437378,76.41999816894531,3.7909998893737793,24.1200008392334,106.94999694824219
2008-01-10,86.41999816894531,88.45999908447266,86.41000366210938,88.25,12916300.0,88.25,891.7000122070312,1420.3299560546875,592.1599731445312,16.06100082397461,1.480100154876709,75.93000030517578,3.88700008392334,23.450000762939453,106.47000122070312
2008-01-11,88.04000091552734,88.76000213623047,87.8499984741211,88.58000183105469,6978800.0,88.58000183105469,896.0999755859375,1401.02001953125,584.719970703125,16.07699966430664,1.4790055751800537,75.9800033569336,3.809999942779541,23.68000030517578,107.26000213623047
2008-01-14,89.44999694824219,89.94000244140625,89.0,89.54000091552734,10085000.0,89.54000091552734,901.5999755859375,1416.25,594.0,16.280000686645508,1.4869003295898438,75.61000061035156,3.7929999828338623,22.899999618530273,107.70999908447266
2008-01-15,89.5999984741211,90.3499984741211,87.91000366210938,87.98999786376953,23853900.0,87.98999786376953,901.0,1380.949951171875,582.239990234375,15.833999633789062,1.4802095890045166,75.56999969482422,3.7009999752044678,23.34000015258789,108.26000213623047
2008-01-16,88.16999816894531,88.66000366210938,86.31999969482422,86.69999694824219,26919000.0,86.69999694824219,880.5999755859375,1373.199951171875,574.7999877929688,15.654000282287598,1.466404676437378,76.26000213623047,3.7119998931884766,24.3799991607666,107.62000274658203
2008-01-17,87.5,87.9800033569336,86.47000122070312,86.5,13592300.0,86.5,879.5,1333.25,568.239990234375,15.717000007629395,1.4640002250671387,76.16999816894531,3.640000104904175,28.459999084472656,108.4000015258789
